date,open,high,low,close,volume
2020-02-21,1620.0,2620.0,1010.0,1230.0,52881861.78890968
2020-02-22,1225.0,1300.0,856.0,912.0,57488624.39241866
2020-02-23,913.0,995.0,860.0,918.0,44447672.98509212
2020-02-24,919.0,943.0,820.0,828.0,4209895.97720899
2020-02-25,827.0,869.0,685.0,740.0,21724789.73314558
2020-02-26,740.0,777.0,690.0,734.0,11172102.42524408
2020-02-27,734.0,990.0,690.0,788.0,25445273.63815697
2020-02-28,785.0,894.0,759.0,837.0,15859664.42463285
2020-02-29,837.0,850.0,785.0,794.0,4824737.39381877
2020-03-01,795.0,800.0,727.0,733.0,5246071.34466044
2020-03-02,733.0,766.0,732.0,751.0,3657071.39273687
2020-03-03,752.0,755.0,713.0,727.0,3581046.15408871
2020-03-04,726.0,737.0,676.0,693.0,4110928.15623884
2020-03-05,693.0,720.0,664.0,699.0,5582784.95694242
2020-03-06,699.0,964.0,671.0,888.0,57814185.83611893
2020-03-07,888.0,932.0,824.0,841.0,22338904.53403001
2020-03-08,842.0,865.0,705.0,737.0,14417180.81905995
2020-03-09,735.0,785.0,690.0,743.0,11236392.49503358
2020-03-10,742.0,749.0,704.0,726.0,5132133.43929682
2020-03-11,726.0,730.0,680.0,714.0,4451173.94976269
2020-03-12,714.0,947.0,482.0,576.0,65337491.31392432
2020-03-13,577.0,656.0,399.0,613.0,68693089.3214393
2020-03-14,613.0,647.0,542.0,600.0,32169429.30528689
2020-03-15,598.0,612.0,550.0,570.0,8035146.89234748
2020-03-16,570.0,571.0,419.0,457.0,14260551.92423747
2020-03-17,456.0,483.0,428.0,467.0,9868135.70109257
2020-03-18,467.0,469.0,407.0,433.0,5862399.8694605
2020-03-19,433.0,517.0,414.0,466.0,16167727.70613033
2020-03-20,467.0,510.0,429.0,450.0,19879486.42212821
2020-03-21,450.0,496.0,424.0,494.0,7002002.31652644
2020-03-22,494.0,495.0,431.0,435.0,11434184.49917365
2020-03-23,437.0,449.0,407.0,434.0,7133676.35419824
2020-03-24,433.0,435.0,402.0,418.0,5454530.63392668
2020-03-25,419.0,419.0,405.0,410.0,3198404.5020011
2020-03-26,410.0,411.0,371.0,392.0,5881339.7944289
2020-03-27,392.0,392.0,364.0,370.0,4313740.11505236
2020-03-28,371.0,371.0,331.0,348.0,4012923.80600261
2020-03-29,349.0,408.0,344.0,357.0,19466200.23942639
2020-03-30,357.0,366.0,346.0,360.0,6974275.54709418
2020-03-31,360.0,371.0,338.0,354.0,5329060.85092262
2020-04-01,352.0,354.0,336.0,347.0,2992832.28180884
2020-04-02,346.0,353.0,335.0,343.0,3163182.57920343
2020-04-03,343.0,350.0,334.0,340.0,2331145.61590242
2020-04-04,339.0,342.0,333.0,337.0,2507060.60373992
2020-04-05,337.0,337.0,317.0,325.0,3251919.97086111
2020-04-06,324.0,331.0,313.0,330.0,5560581.39772904
2020-04-07,330.0,331.0,311.0,315.0,6248417.51753132
2020-04-08,314.0,325.0,304.0,317.0,6304054.24926405
2020-04-09,317.0,317.0,299.0,309.0,4094913.99487704
2020-04-10,308.0,309.0,278.0,283.0,4558629.47581242
2020-04-11,284.0,292.0,281.0,286.0,2347068.62949372
2020-04-12,285.0,287.0,280.0,284.0,1581522.2916354
2020-04-13,283.0,286.0,264.0,272.0,4661785.13291396
2020-04-14,272.0,279.0,266.0,274.0,2803886.06280212
